Fold,R2,MAE,RMSE
1,-1.2479453086853027,0.36616653203964233,0.4514424227082125
2,-1.2989237308502197,0.3591573238372803,0.4441685623333661
3,-2.2626588344573975,0.4523890018463135,0.5336273238649074
4,-1.8371081352233887,0.40536293387413025,0.4880176442984245
5,-2.5046370029449463,0.43161940574645996,0.5044880251356461
