Fold,R2_Train,R2_Test,RMSE,MAE
1,-1.2055394649505615,-1.3310203552246094,0.4267698412843247,0.3606351613998413
2,-2.5173239707946777,-2.4322826862335205,0.5263275527894368,0.4450315237045288
3,-1.0134003162384033,-1.3329861164093018,0.43100792268609445,0.35279983282089233
4,-1.293351650238037,-1.3084511756896973,0.4596165463155412,0.37416672706604004
5,-1.107069730758667,-0.8734006881713867,0.40854333088737027,0.3246977627277374
