Fold,R2_Train,R2_Test,RMSE,MAE
1,-1.0289685726165771,-0.9467675685882568,0.4201134178315265,0.34018057584762573
2,-1.956768274307251,-1.5641202926635742,0.4690884322102059,0.38198769092559814
3,-1.8474926948547363,-2.0554959774017334,0.5164081232957436,0.43514692783355713
4,-2.0575978755950928,-1.9901416301727295,0.501006633012229,0.41641169786453247
5,-2.3394033908843994,-2.987966537475586,0.5381521748450017,0.46722352504730225
